"~ NOS * nNoun",,,,,,,,,,,,,,,,,,
,"Accuracy",,,,,,,,,,"RT",,,,,,,
"Task","Dataset","df","adj.r.sq","Predictor","b","SE","VIF","t","p","","adj.r.sq","Predictor","b","SE","VIF","t","p",""
,"BLP_SUBTLEXuk","5191","0.00532490924523366","NOS","0.129638351602599","0.0383578618556124","2.38710055907953","3.37970745320964","0.000725630219656309","***","0.136698293751616","NOS","-5.22614543343128","0.267493821053466","2.46063052735492","-19.5374435672916","4.40126073003932e-82","***"
,,,,"nNoun","0.0256824008162421","0.0749997911846468","3.27322654722451","0.342432964286699","0.732025084397096"," ",,"nNoun","-5.18953859462037","0.615280902901857","3.15074192936896","-8.4344216928315","4.26650185620091e-17","***"
,,,,"NOS:nNoun","-0.00338764306166939","0.00972262316301514","5.33144347469906","-0.348428917265454","0.72751808865577"," ",,"NOS:nNoun","0.372579583897551","0.0573901910126584","5.24609576306395","6.49204293143705","9.25706609583948e-11","***"
"~ NOS * nVerb",,,,,,,,,,,,,,,,,,
,"Accuracy",,,,,,,,,,"RT",,,,,,,
"Task","Dataset","df","adj.r.sq","Predictor","b","SE","VIF","t","p","","adj.r.sq","Predictor","b","SE","VIF","t","p",""
,"BLP_SUBTLEXuk","5191","0.00556265108224274","NOS","0.151713980572047","0.038060630611454","2.66251575366863","3.98611316036342","6.71644887679946e-05","***","0.141196900709506","NOS","-6.54569168692037","0.273031387079455","2.57699185383046","-23.9741362959692","1.49700310972493e-120","***"
,,,,"nVerb","0.0102187692777695","0.0593464822927184","3.70965258331857","0.172188289566463","0.863289503954652"," ",,"nVerb","-0.322133124257489","0.501396727384869","4.24152285263408","-0.642471533345732","0.520595439857935"," "
,,,,"NOS:nVerb","-0.00494155325778275","0.00340440045703779","3.11945912275984","-1.4515193850263","0.146635288335416"," ",,"NOS:nVerb","0.222086464232989","0.0284936954902885","4.16635538182553","7.79423168569633","7.7747676122351e-15","***"
"~ NOS * nAdj",,,,,,,,,,,,,,,,,,
,"Accuracy",,,,,,,,,,"RT",,,,,,,
"Task","Dataset","df","adj.r.sq","Predictor","b","SE","VIF","t","p","","adj.r.sq","Predictor","b","SE","VIF","t","p",""
,"BLP_SUBTLEXuk","5191","0.00549654885175999","NOS","0.125279702969732","0.0274942421248072","1.25741438222946","4.55657960677868","5.19933391028744e-06","***","0.127545815976928","NOS","-4.93615657471419","0.198690617711779","1.34336363607498","-24.8434306136921","7.85850258314232e-129","***"
,,,,"nAdj","0.1096139863594","0.0890961825566477","2.67149146422808","1.23028824820533","0.218589183439"," ",,"nAdj","-2.78263300924604","0.738204977528431","2.91211501689944","-3.76945847556124","0.000165418594456774","***"
,,,,"NOS:nAdj","-0.00894362282988172","0.00949512611694384","3.04552803014046","-0.941917223608228","0.346235021265814"," ",,"NOS:nAdj","0.235964082961741","0.0619820922759225","3.4545870588633","3.80697188974054","0.000142300271496639","***"
"~ NOS * nAdv",,,,,,,,,,,,,,,,,,
,"Accuracy",,,,,,,,,,"RT",,,,,,,
"Task","Dataset","df","adj.r.sq","Predictor","b","SE","VIF","t","p","","adj.r.sq","Predictor","b","SE","VIF","t","p",""
,"BLP_SUBTLEXuk","5191","0.00541713062197935","NOS","0.127139621847356","0.0258171146765011","1.12611421247698","4.92462552227338","8.45220596464694e-07","***","0.129280499458947","NOS","-4.80323599066187","0.179142442771721","1.09420881905029","-26.8123841360283","1.9870394459378e-148","***"
,,,,"nAdv","0.10725025585923","0.176188113370765","2.55732821127496","0.60872583176787","0.542706181883958"," ",,"nAdv","-7.26539815118568","1.56281547447238","2.79963696979818","-4.64891618355555","3.41951683235797e-06","***"
,,,,"NOS:nAdv","-0.0106831515673977","0.00841249404152678","2.67219982396325","-1.2699149045054","0.204114943456125"," ",,"NOS:nAdv","0.39597735584109","0.0789479574489873","2.89862780779767","5.01567575192751","5.46074610347443e-07","***"
"~ NOS * Conc",,,,,,,,,,,,,,,,,,
,"Accuracy",,,,,,,,,,"RT",,,,,,,
"Task","Dataset","df","adj.r.sq","Predictor","b","SE","VIF","t","p","","adj.r.sq","Predictor","b","SE","VIF","t","p",""
,"BLP_SUBTLEXuk","5191","0.00539457006680855","NOS","0.138234283651847","0.0939723775882479","13.8710782249072","1.47100974988137","0.141288480151371"," ","0.127223759913772","NOS","-4.71867891214878","0.673945739792881","15.4499987216652","-7.0015709478317","2.85284944955184e-12","***"
,,,,"Conc","0.0357187579891608","0.107273243236134","2.911630704963","0.33296987125238","0.739157025962697"," ",,"Conc","-2.47667879311482","1.03866450109159","2.56472264784691","-2.38448391228538","0.0171387967331411","*"
,,,,"NOS:Conc","-0.00423437427156324","0.025711147726619","15.6127982562747","-0.164690208176874","0.869187824482444"," ",,"NOS:Conc","0.00896464933101323","0.186638161151717","16.9508466398839","0.0480322420436083","0.961692394602392"," "
"~ NOS * SemD",,,,,,,,,,,,,,,,,,
,"Accuracy",,,,,,,,,,"RT",,,,,,,
"Task","Dataset","df","adj.r.sq","Predictor","b","SE","VIF","t","p","","adj.r.sq","Predictor","b","SE","VIF","t","p",""
,"BLP_SUBTLEXuk","5191","0.00885764833624836","NOS","0.217919142832176","0.131845903773993","30.6215316248496","1.65283210622703","0.0983650378849794",".","0.167314945769087","NOS","-11.022449324343","1.04739706091448","39.1132073289257","-10.5236588259274","1.21604565347053e-25","***"
,,,,"SemD","1.10087948686508","0.325660407271981","2.43912947201999","3.38045234324619","0.000723666234926792","***",,"SemD","-49.2126761281738","3.19771128167098","2.2527056018445","-15.38996857229","2.69038461215671e-52","***"
